Núm.,Tipo,Estado,Descripción,Usuario Reporta,Solicitado a,Auditor Global,Proceso,Fecha de Creación,Fecha Cierre,Norma y Numeral,Acción Eficaz,Acción Correctiva,%Avance Eficaz,%Avance Plan de Acciones
1783,No Conformidad,Abierta,"5. La suficiencia de equipos biomédicos está relacionada con la frecuencia de uso de los mismos, incluyendo los tiempos del proceso de esterilización, cuando aplique: No cuenta con documento donde se evidencie suficiencia de equipos biomédicos relacionada con la frecuencia de uso de los mismos.",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,3. Dotación,,,,
1784,No Conformidad,Abierta,"16. Adicional a los criterios enunciados del presente estándar, que le apliquen, el prestador de servicios de salud cuenta con: 16.1. Sistemas de telecomunicaciones de doble via: No cuenta con sistemas de telecomunicaciones de doble vía.",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,3. Dotación,,,,
1785,No Conformidad,Abierta,2.3. Serie (cuando aplique): Cuenta con documento en Excel “kardex medico San Juan de Villalobos” no se evidencia este ítem.,Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1786,No Conformidad,Abierta,"2.7. Vida útil, cuando aplique: Cuenta con documento en Excel “kardex medico San Juan de Villalobos” no se evidencia este ítem.",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1787,No Conformidad,Abierta,"4.5. Almacenamiento: Cuenta con “procedimiento para el almacenamiento y conservación de medicamentos, dispositivos médicos e insumos” con código PR-MI-FA-3, donde se evidencia la documentación de proceso para este ítem, pero este proceso no se lleva a cabo de acuerdo a lo documentado.",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1788,No Conformidad,Abierta,"4.7. Control de fechas de vencimiento: Cuenta con “procedimiento para el almacenamiento y conservación de medicamentos, dispositivos médicos e insumos” con código PR-MI-FA-3, donde se evidencia la documentación de proceso para este ítem, pero este proceso no se lleva a cabo de acuerdo a lo documentado.",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1789,No Conformidad,Abierta,"4.12. Disposición final: Cuenta con “procedimiento para el almacenamiento y conservación de medicamentos, dispositivos médicos e insumos” con código PR-MI-FA-3, no se evidencia la documentación de proceso para este ítem.",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1790,No Conformidad,Abierta,"6. El prestador de servicios de salud cuenta con información documentada de la planeación y ejecución de los programas de farmacovigilancia, tecnovigilancia y reactivovigilancia, que garanticen el seguimiento al uso de medicamentos, dispositivos médicos (incluidos los sobre medida) y reactivos de diagnóstico in vitro, cuando aplique: Cuenta con “programa de farmacovigilancia” con código MA-MI-FA-01, no se evidencia código de inscripción, no se evidencia capacitaciones. Se aplica herramienta del...",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
