num,descripcion,proceso,estandar,fuente,municipio,uas,año,mes,dia
1533.0,9. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con los siguientes registros: No cumplen con los criterios que le son aplicables de todos los servicios.,Misionales,6. Historia clinica y registros,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1534.0,9.4. Analisis del control de calidad y de las medidas preventivas y correctivas. No cuenta con la informacion documentada.,Misionales,6. Historia clinica y registros,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1535.0,"10. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente disponibilidad de laboratorio de citologia cervico-uterinas o servicio de patologia: La EAPB solo contratan con el prestador la toma de las muestra, indican que las EPS contratan con tres prestadores AIC con UNILAB, ASMET con BIOS, Nueva EPS con rehabilitar. Se observa en la base de datos del departamento oportunidad de entrega alta hasta de 30 dias para resultados.",Misionales,7. Interdependencia,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1536.0,"1. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con: Ver Estandar transversal Talento Humano.",Gestion de Talento Humano,1. Talento Humano,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1537.0,9. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: No cumple con todos los criterios aplicable a los servicios.,Gestion de Recursos,2. Infraestructura,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1538.0,"11.2. Sistema de vacio: Cuenta con sistema de vacio, pero la red no se encuentran funcionamiento.",Gestion de Recursos,2. Infraestructura,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1539.0,"Barrera fisica movil o fija entre camillas que permite facil limpieza y desinfeccion y la privacidad del paciente, cuando exista mas de una camilla: No cuenta con barrera fisica movil ni fija entre camillas.",Gestion de Recursos,2. Infraestructura,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1540.0,"12.2. Sistema de vacio: Cuenta con sistema de vacio, pero la red no se encuentran funcionamiento.",Gestion de Recursos,2. Infraestructura,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1541.0,19. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente: Revisar estandar transversal.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1542.0,19.1.3. Oxigeno medicinal que puede ser suministrado mediante salida de oxigeno medicinal o mediante oxigeno medicinal portatil por camilla: No cuenta clon oxigeno medicinal.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
